"SampleID","Day","AirTemp_.C.","Ammonium_.uM.","AtmPressure_.24hrAVG_hPa.","ChlorophyllConc_.24hrAVG_ug.L.","DomWavePd_.24hrAVG_sec.","Macroalgae","Nitrite.Nitrate_.uM.","Phosphate_.uM.","Salinity_.PPT.","Silicate_.uM.","TidalDirection","WaterLevel_.m.","WaterTemp_.C.","WaveHeight_.24hrAVG_m.","WindSpeed_.24hrAVG_m.s."
"nahant_unf_d52_1236",52,18.5,0,1018.3,7.7,5.75,3,1.3,0,34.42,2,1,2.443,16,0.88,3.8
"nahant_unf_d53_1239",53,20.8,0.2,1012.4,7.4,7.61,3,8.8,0,34.42,5.1,1,1.669,16.1,0.76,4.9
"nahant_unf_d54_1242",54,18.1,1,1011.9,6.4,6.42,1,16.1,0.2,34.42,7.3,1,1.687,16.6,0.69,5.5
"nahant_unf_d55_1245",55,19.7,1.4,1018.3,6.8,5.05,2,1.6,0.2,35.01,7.8,0,1.641,14.9,0.6,6
"nahant_unf_d56_1248",56,15.6,0.8,1010.9,8.3,7.19,0,2.5,0.2,34.42,4.4,0,2.319,15,0.79,7.3
"nahant_unf_d57_1251",57,19,0,1019.4,8.6,7.63,0,0.8,0.1,34.42,4.3,0,2.31,16.3,0.9,4
"nahant_unf_d58_1254",58,19.5,0,1021.7,7.1,13.49,0,1.3,0.1,34.42,4.9,0,3.153,16,0.76,3.6
"nahant_unf_d59_1257",59,16.5,0,1015.7,6.7,14.71,1,0,0,34.42,2.4,0,3.769,16.4,1.01,5.1
"nahant_unf_d60_1260",60,17,0,1016.7,8.7,13.81,3,0.8,0,35.01,4.3,0,3.935,16.2,1.35,7.3
"nahant_unf_d61_1263",61,24.4,0.1,1016.9,8.2,9.73,0,1,0.1,34.42,5.1,1,3.94,16,1,7.1
"nahant_unf_d62_1266",62,21.6,0.1,1016.3,7,11.01,0,2.4,0.2,34.42,5.4,1,4.007,16.8,0.43,3.5
"nahant_unf_d63_1269",63,22.8,0,1021.8,6.8,7.76,0,0,0.1,35.01,3.3,1,4.163,15.7,0.45,5
"nahant_unf_d64_1272",64,24.5,0,1010.1,6.2,3.29,0,0.2,0.1,34.42,3.6,1,4.103,15.5,0.66,6.5
"nahant_unf_d65_1275",65,19.6,0,1011.9,4.2,7.74,3,0.4,0,34.42,2.4,1,3.286,15.6,0.33,3.5
"nahant_unf_d66_1278",66,15.7,0,1021.2,5.3,6.09,3,0.6,0,34.42,1.8,1,3.131,15.8,1.56,7.8
"nahant_unf_d67_1281",67,22.8,0,1015.5,5,6.39,0,0.3,0.1,34.42,3,1,3.342,16.1,1.02,4.4
"nahant_unf_d68_1284",68,23.3,0.8,1009.8,5.2,5.83,1,0.2,0.1,34.42,3,1,2.465,15.7,0.95,5.9
"nahant_unf_d69_1287",69,20.4,0,1014.2,3.9,7.38,2,4,0,34.42,4,1,2.177,16.6,0.55,3.9
"nahant_unf_d70_1290",70,24.1,0,1007.9,6.1,4.73,2,4.8,0.4,34.42,9,1,1.749,13.4,1.18,8.8
"nahant_unf_d71_1293",71,16.3,0.5,1004.2,8,5.48,2,3.4,0,36.79,6.1,1,1.539,14.7,1.3,8.5
"nahant_unf_d72_1296",72,12.9,0,1017.5,6.2,8.24,2,2,0.2,35.01,4.7,0,2.294,14.3,1.02,5.9
"nahant_unf_d73_1301",73,12.9,0,1021.7,9.4,6.9,2,0,0,34.42,2.5,0,2.35,14,2.27,11.2
"nahant_unf_d75_1304",75,16,0.6,1017.2,8.1,7.58,3,3.4,0.3,34.42,3.1,0,4.38,14.9,1.95,8.1
"nahant_unf_d76_1307",76,12.4,0.3,1002.8,7.5,8.33,2,1.1,0.1,34.42,3.8,1,4.829,14.7,2.06,8.4
"nahant_unf_d77_1310",77,16,0.6,1004.5,7.1,5.12,2,0.8,0,35.01,3.8,1,4.464,15,0.83,9.1
"nahant_unf_d78_1313",78,15.1,0.3,1007.1,7.6,2.94,0,4,0.4,33.83,7.2,1,4.042,14.7,0.5,6.7
"nahant_unf_d79_1316",79,15.8,0.3,1012,7.9,3.74,1,0.6,0,34.42,4.9,1,4.239,14.9,0.89,9
"nahant_unf_d81_1322",81,13.2,0.8,1007.9,6.6,7.12,0,21.7,0.6,33.83,10.5,1,2.568,14.4,0.38,4.1
"nahant_unf_d82_1325",82,13.5,0.3,1011.6,7.5,4.12,3,5.3,0.3,34.42,6,1,2.102,14.2,0.71,6
"nahant_unf_d83_1328",83,15.2,0.5,1016.3,5.6,5.06,0,2.2,0.3,34.42,5,1,1.711,14,0.47,4
"nahant_unf_d85_1334",85,11.5,0.4,990.6,7.2,8.74,0,3.5,0.4,34.42,6.9,0,2.071,13,1.9,14
"nahant_unf_d86_1337",86,12.8,0.4,1005.5,6.5,6.75,0,3.4,0.3,34.42,8.4,0,2.157,12.9,1.46,11.2
"nahant_unf_d87_1340",87,10,1.1,1007.6,5.7,7.27,1,6.6,0.7,35.01,7.2,0,3.296,11.8,0.69,7.5
"nahant_unf_d88_1343",88,9.1,0,1011.5,6.4,3.04,1,3.7,0.2,34.72,7.6,0,3.445,11.6,0.49,5.8
"nahant_unf_d89_1346",89,13.7,0.3,1012.7,5.6,5.29,0,1.5,0,34.42,6,0,3.676,12.3,0.26,4
"nahant_unf_d90_1349",90,13.7,0.4,1007.5,6,6.97,2,1.6,0,34.42,6.1,0,4.203,12,0.46,4.9
"nahant_unf_d91_1352",91,9.7,0.3,1004,7.5,3.78,0,1.4,0,34.42,6.3,0,3.951,11.4,0.95,9.9
"nahant_unf_d92_1355",92,8.7,0.3,1013.9,7.9,3.83,1,3.7,0.3,35.01,7.1,1,3.957,11.2,0.98,10.8
