"SampleID","Days","Season","Flowrate","COD.rm","BOD.rm","NH4.rm","TN.rm","TP.rm","COD.rmr","BOD.rmr","NH4.rmr","TN.rmr","TP.rmr","FM","pH","DO","Temp.AS","MLSS","MLVSS","SVI","SRT","Temp.Avg.SamplingDate","Precipitation.SamplingDate","Temp.Avg.WeekMean","Precipitation.WeekMean","Precipitation.WeekAccum","Precipitation.MonthAccum"
"N18C",119,1,65454,0.7875,0.959677419,0.934782609,0.796491228,0.898245614,0.207193283,0.13045503,0.018855685,0.004977024,0.028064275,0.176305481,7.3,6.5,19.5,6123,4721,101,4.6,18.89,0.12,17.14,0.727142857,5.09,20.54
"N19C",126,2,47923,0.557142857,0.967391304,0.946236559,0.742424242,-11.87878788,0.075998577,0.173432649,0.017148397,0.00477427,-0.038194156,0.270015446,7.3,6.5,20.8,5044,3349,122,4.8,24.44,0,21.43,0.072857143,0.51,19.48
"N20C",133,2,41783,0.490909091,0.980769231,0.789473684,0.762162162,0.881081081,0.040808653,0.154166021,0.012469311,0.008524474,0.049272669,0.230478659,7.1,6.3,22.2,5670,3867,141,4.1,27.22,0,26.43,0,0,8.32
"N21C",140,2,66525,0.907692308,0.966666667,0.834745763,0.950561798,0.971599045,0.347492373,0.199268225,0.019337852,0.166089575,0.199808114,0.295334946,7.1,6.3,21.4,6950,4851,69,5.7,25.56,0.02,25.87,0.625714286,4.38,11.01
"N22C",147,2,49282,0.649159664,0.980582524,0.797619048,0.9373498645,0.9630896505,0.1274519305,0.188531173,0.012506523,0.11233327,0.127040969,0.284845983,7.2,6.3,22.9,5415,3655,76,3.8,27.78,0,26.43,0.188571429,1.32,6.49
"N23C",154,2,42711,-1.647058824,0.984375,0.796296296,0.9373498645,0.9630896505,-0.081045522,0.136764319,0.012446277,0.11233327,0.127040969,0.201334606,7.06,5.87,23.4,6053,4177,107,3.6,26.67,0,27.3,0.01,0.07,5.77
"N24C",161,2,101192,0.741176471,0.969230769,0.778846154,0.953623188,0.955629139,0.267776177,0.267776177,0.017214183,0.13983867,0.306667479,0.399248484,7.08,5.2,22.2,4883,3379,66,2.4,22.22,0.67,26.43,0.721428571,5.05,10.82
"N25C",168,2,46227,0.87,0.983425414,0.936708861,0.952432432,0.970550162,0.178905284,0.122012033,0.010144821,0.120778203,0.102784856,0.177761998,7.18,6.31,23.9,6916,4827,98,5.5,28.89,0,26.51,0.001428571,0.01,7.3
"N26C",175,2,50047,0.98137931,0.978609626,0.49122807,0.924137931,0.978195489,1.103232116,0.141877356,0.002170801,0.103888337,0.151297082,0.208009898,7.14,5.92,24.3,6620,4614,109,4.1,25,1.96,28.49,0.285714286,2,7.13
"N27C",182,2,40246,0.975396825,0.976415094,0.949275362,0.96,0.981882353,0.822112739,0.138468134,0.008762959,0.125223356,0.139571866,0.211348991,7.21,5.82,25.1,6170,4140,122,4.5,28.89,0,28.73,0.022857143,0.16,7.29
"N28C",189,2,36090,0.970491803,0.970212766,0.981012658,0.981220657,0.978780488,0.745252076,0.143511379,0.009756256,0.131552098,0.126296308,0.200173646,7.13,5.72,25.3,5880,4345,133,4,26.11,0.53,27.3,0.095714286,0.67,4.02
"N29C",196,2,38149,0.82962963,0.968888889,0.994565217,0.790361446,0.916118421,0.123724547,0.120410496,0.010107854,0.036233617,0.076913585,0.171422239,7.1,5.76,25.6,7083,5135,93,4.5,29.44,0,29.84,0,0,2.83
"N30C",203,2,40795,0.932352941,0.983957219,0.971264368,0.284210526,0.975,0.415085223,0.120466374,0.011064575,0.007070852,0.068940811,0.167271946,7.08,5.76,25,6390,4677,133,5.4,28.89,0,26.35,0.05,0.35,3.18
"N31C",210,2,39126,0.877777778,0.947368421,0.951515152,0.652173913,0.950393701,0.391819419,0.127536158,0.011123987,0.021256026,0.04276004,0.177831014,7.05,5.87,27.1,5663,4287,129,5,25,0,23.57,0.035714286,0.25,1.27
"N32C",217,3,37983,0.878571429,0.976666667,0.981012658,0.755555556,0.777358491,0.344498426,0.205158616,0.010853101,0.038090883,0.043272363,0.273540232,7,5.4,0.1,5563,4272,122,9,26.67,0,26.43,0,0,1.13
"N33C",224,3,37786,0.908450704,0.973782772,0.986754967,0.725581395,0.88559322,0.429742368,0.173229482,0.009927382,0.041575076,0.034812463,0.234078674,7,5.5,0.1,5816,4420,122,7.5,30,0,28.41,0,0,0.6
"N34C",231,3,37790,0.775862069,0.976284585,0.99537037,0.904166667,0.795258621,0.14501407,0.159193224,0.0138569,0.055943206,0.023782308,0.21398546,7.1,5.8,0.4,6013,4582,134,8.4,24.44,0,24.13,0.022857143,0.16,0.41
"N35C",238,3,36098,0.938297872,0.981273408,0.991967871,0.880701754,0.9,0.282641859,0.167918746,0.015830508,0.016086872,0.032878747,0.224842629,7,5.8,0.3,5776,4396,142,8.9,26.67,0,25.16,0.128571429,0.9,1.06
"N36C",245,3,35526,0.901754386,0.977859779,0.986725664,0.918421053,0.944387755,0.323089608,0.166573436,0.014017312,0.087749629,0.058174987,0.231439076,7,5.2,0.2,5796,4266,134,10.9,24.44,0,24.29,0,0,1.06
"N37C",252,3,35231,0.898809524,0.977358491,0.982954545,0.938181818,0.85952381,0.455393718,0.156221156,0.010434849,0.062247194,0.043548909,0.204669233,7,5.6,25.4,5990,4678,144,8.9,18.89,0,18.02,0.001428571,0.01,1.07
"N38C",259,3,33107,0.929577465,0.981751825,0.980295567,0.873684211,0.899285714,0.379413044,0.154639559,0.011439878,0.038171252,0.036187956,0.204546415,7,5.7,24.9,5906,4548,135,9.8,21.67,0,21.19,0.022857143,0.16,1.21
"N39C",266,3,35204,0.913207547,0.978991597,0.939189189,0.540540541,0.730379747,0.335061862,0.161300442,0.009622644,0.027691063,0.019972179,0.235019944,6.9,6.2,24.3,5215,3656,146,4.4,21.67,0,19.84,0,0,0.17
"N40C",273,3,33084,0.795454545,0.978354978,0.911854103,0.787878788,0.904411765,0.092772236,0.119808716,0.015903812,0.013783304,0.016301407,0.163075291,7,5.6,23,6400,4806,140,9.6,16.67,0,17.22,0.192857143,1.35,1.52
"N41C",280,3,34618,0.788888889,0.972332016,0.93639576,0.913432836,0.153846154,0.183315657,0.158787506,0.017105158,0.039503233,0.003227388,0.187043351,7.1,5.3,22.6,5500,4802,143,7.9,18.89,0,13.57,0.274285714,1.92,3.43
"N42C",287,3,33690,0.817948718,0.969827586,0.990353698,-4.555555556,0.819047619,0.197514703,0.139312879,0.019070385,-0.030463083,0.015974543,0.165097956,6.9,5.2,23.5,5580,4855,99,9,15.56,0,14.6,0.028571429,0.2,3.47
"N43C",294,3,36181,0.8925,0.975247525,0.893835616,0.983561644,0.8192,0.22065937,0.121764415,0.01613224,0.044379111,0.031646386,0.149154996,7.1,5.2,21.1,6003,5025,113,11.4,13.33,0.8,12.38,0.16,1.12,4.59
"N44C",301,3,31847,0.871698113,0.975438596,0.829457364,0.788235294,0.931797235,0.365344344,0.219839237,0.016922877,0.021193135,0.07994873,0.267701394,7.1,5.2,21.2,4130,3477,145,7.2,11.11,0,9.13,0,0,3.24
"N45C",308,4,37177,0.887878788,0.977973568,0.626943005,0.80625,0.654098361,0.186927548,0.141631111,0.007719534,0.016459832,0.012727661,0.194134209,7.2,5.8,19.3,5976,4458,151,12.5,3.33,0,5.24,0.454285714,3.18,4.5
"N46C",315,4,35420,0.924137931,0.980842912,0.952879581,0.8,0.709183673,0.091294766,0.08720694,0.006199868,0.010628346,0.011837661,0.106355112,7.2,5.7,19.7,10663,8914,67,18.7,10,0,8.02,0,0,4.3
"N47C",322,4,36612,0.8975,0.967213115,0.931623932,0.820512821,0.709574468,0.139131577,0.091462541,0.008448658,0.0124017,0.012924897,0.110991763,7.2,5.7,18.6,9688,8254,100,16.1,11.11,0,12.86,0.104285714,0.73,5.02
"N48C",329,4,31922,0.887096774,0.976351351,0.972222222,0.877777778,0.695890411,0.121886448,0.128091576,0.009307692,0.014005861,0.011257876,0.157305181,7.2,6.1,18.6,7386,6160,115,9.7,9.44,0,5.95,0,0,3.91
"N49C",336,4,45538,0.75,0.98136646,0.941860465,0.8,0.969565217,0.042444159,0.089415695,0.009167938,0.015845819,0.025240127,0.113182039,7.1,6.3,16.9,8252,6643,121,12.3,-2.22,0,5.32,0.334285714,2.34,3.1
"N50C",343,4,39274,0.866666667,0.973782772,0.704545455,0.733333333,0.826041667,0.207074903,0.207074903,0.00740691,0.021026067,0.031578923,0.260569671,7.2,6.5,16.2,5057,4127,101,9.8,8.33,0,3.1,0.005714286,0.04,3.11
"N51C",350,4,34284,0.922222222,0.978632479,0.917525773,0.760714286,0.795098039,0.259393442,0.178918971,0.013907239,0.033283616,0.03168194,0.223746191,7.1,6.1,17.3,4500,3677,91,8.2,5.56,0,2.78,0.015714286,0.11,2.45
"N52C",357,4,37680,-1.166666667,0.976351351,0.694690265,0.731958763,0.865979381,-0.026818341,0.221442872,0.012029941,0.005440292,0.032182009,0.276276662,7.1,6.1,15.9,5043,4140,135,8,2.78,0,3.1,0,0,2.45
