"ID","nahant_5um_d1_544","nahant_5um_d2_547","nahant_5um_d3_550","nahant_5um_d4_553","nahant_5um_d5_556","nahant_5um_d6_559","nahant_5um_d7_562","nahant_5um_d8_565","nahant_5um_d9_568","nahant_5um_d10_571","nahant_5um_d11_574","nahant_5um_d12_576","nahant_5um_d13_579","nahant_5um_d14_582","nahant_5um_d15_585","nahant_5um_d16_588","nahant_5um_d17_591","nahant_5um_d18_594","nahant_5um_d19_597","nahant_5um_d20_600","nahant_5um_d21_603","nahant_5um_d22_606","nahant_5um_d23_609","nahant_5um_d24_612","nahant_5um_d25_615","nahant_5um_d26_618","nahant_5um_d27_621","nahant_5um_d29_624","nahant_5um_d30_627","nahant_5um_d31_630","nahant_5um_d32_633","nahant_5um_d33_636","nahant_5um_d34_639","nahant_5um_d35_642","nahant_5um_d36_645","nahant_5um_d38_648","nahant_5um_d39_651","nahant_5um_d40_654","nahant_5um_d41_657","nahant_5um_d42_660","nahant_5um_d43_663","nahant_5um_d44_666","nahant_5um_d45_670","nahant_5um_d46_672","nahant_5um_d47_675","nahant_5um_d48_678","nahant_5um_d49_681","nahant_5um_d51_684","nahant_5um_d52_687","nahant_5um_d53_690","nahant_5um_d54_693","nahant_5um_d55_696","nahant_5um_d56_699","nahant_5um_d57_702","nahant_5um_d58_705","nahant_5um_d59_708","nahant_5um_d60_711","nahant_5um_d61_714","nahant_5um_d62_718","nahant_5um_d63_720","nahant_5um_d64_723","nahant_5um_d65_726","nahant_5um_d66_729","nahant_5um_d67_733","nahant_5um_d68_735","nahant_5um_d69_738","nahant_5um_d70_741","nahant_5um_d71_744","nahant_5um_d72_747","nahant_5um_d73_750","nahant_5um_d74_753","nahant_5um_d75_756","nahant_5um_d76_759","nahant_5um_d77_762","nahant_5um_d78_765","nahant_5um_d79_768","nahant_5um_d80_771","nahant_5um_d81_774","nahant_5um_d82_777","nahant_5um_d83_780","nahant_5um_d84_783","nahant_5um_d85_786","nahant_5um_d86_789","nahant_5um_d87_792","nahant_5um_d88_795","nahant_5um_d90_798","nahant_5um_d91_801","nahant_5um_d92_804"
"OTU_335",2,9,9,3,4,3,8,0,2,7,7,6,1,1,1,5,0,8,4,0,3,4,9,6,5,2,8,2,0,5,4,4,3,3,0,3,4,3,10,3,0,0,7,2,0,1,0,0,3,3,6,0,4,5,4,3,5,3,3,0,0,0,2,1,0,3,2,2,11,10,1,5,5,10,2,1,5,1,2,2,4,3,3,2,2,3,2,1
"OTU_74",2,6,0,17,60,43,24,69,18,18,13,6,17,8,2,6,8,14,27,4,17,39,3,5,2,5,5,2,4,13,2,7,1,2,0,0,0,4,13,4,6,5,4,12,5,4,5,0,4,4,5,1,0,16,10,5,4,0,20,11,15,60,4,3,3,30,13,11,10,35,11,13,27,23,1,18,0,0,0,13,9,3,3,5,12,20,15,5
"OTU_505",0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,0,2,1,0,0,2,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,6,3,2,0,1,0,1,0,0,2,0,3,0,0,0,4,0,3,3,10,2,1,0,1,1,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,0
"OTU_4424",0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,0,1,0,0,0,0,0,9,4,0,1,3,1,0,9,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
"OTU_1209",1,0,1,0,0,0,0,0,0,0,0,0,5,6,14,1,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1,4,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,1,0,0,1,1,2
"OTU_1341",5,1,0,2,1,3,1,1,1,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,1,4,0,0,0,1,1,2,0,1,0,2,0,1,1,1,0,2,2,0,0,1,2,1,0
"OTU_373",1,2,1,2,1,0,2,3,0,0,0,0,0,0,0,0,0,0,5,0,7,1,1,1,0,1,3,2,0,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,1,3,3,0,9,1,0,14,3,5,1,0,0,0,5,0,0,0,0,2,0,0,5,1,2,4,5,1,5,1,3,2,0,1
"OTU_1853",0,0,0,0,3,2,3,0,2,2,4,1,1,0,1,1,0,1,1,0,3,5,1,1,1,0,1,2,0,1,3,3,0,0,0,2,0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
"OTU_1365",0,0,1,0,1,0,0,0,3,0,0,1,0,0,1,1,4,0,2,11,9,12,0,0,0,8,0,1,3,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,12,2,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_403",1,5,6,5,2,7,11,9,9,12,7,1,2,0,3,2,0,0,4,0,1,3,12,6,4,1,2,4,0,4,2,2,3,0,0,1,7,3,0,0,4,1,4,0,1,0,0,1,2,0,2,1,0,1,0,0,0,4,1,0,0,0,0,0,1,1,0,3,2,0,0,1,4,0,1,0,0,0,3,0,4,0,2,0,0,0,0,0
"OTU_417",0,1,8,0,0,1,0,0,0,1,0,0,4,7,4,7,3,1,0,11,2,0,2,6,2,13,11,20,16,3,1,0,1,1,2,0,0,0,2,3,6,0,2,0,0,0,0,0,0,2,0,9,7,1,0,7,0,3,11,9,11,2,0,5,0,3,0,3,1,0,0,4,7,16,9,45,14,13,8,17,0,3,3,16,1,3,2,3
"OTU_1266",0,2,2,1,0,0,0,0,3,4,0,2,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,2,2,1,1,3,1,2,0,3,2,0,0,0,0,0,0,3,0,1,2,1,1,1,2,0,0,0,0,0,1,1,0,1,2,2,2,3,2,2,1,0,0,0,3,0,1,3,1,5,5,2,0,2,1,3,0,1
"OTU_610",3,0,0,0,2,1,4,1,0,0,1,2,0,0,0,0,1,0,1,1,0,1,2,2,2,2,1,2,0,5,1,1,3,3,1,2,4,7,3,0,1,8,3,2,1,0,2,3,1,2,3,2,2,0,0,0,2,4,1,0,0,6,6,6,3,5,2,3,4,1,2,2,1,1,4,0,3,5,6,4,6,1,4,1,2,1,2,1
"OTU_600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,1,2,9,1,0,7,20,20,8,19,5,5,0,1,7,4,4,0,1,4,1,0,2,1,0,1,3,0,6,3,3,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"OTU_64",1,9,7,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,3,1,0,1,0,0,0,1,0,2,0,3,3,2,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,1,2,1,0,1,1,0,4,6,0,1,0,0,2
"OTU_1024",6,2,3,1,0,0,2,8,1,3,0,0,0,0,2,2,0,0,12,0,4,3,1,0,2,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,0,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_435",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,3,8,8,5,2,4,3,4,0,0,1,0,0,0,5,3,3,2,0,2,1,2,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,4,3,4,3,3,0,0,1,0,0
"OTU_361",3,2,1,2,11,3,5,14,6,3,5,9,10,3,0,3,15,1,4,2,2,1,7,0,0,0,3,2,1,0,0,0,0,0,0,1,0,0,2,1,2,6,8,10,5,10,1,2,3,1,1,0,5,7,1,4,0,4,3,0,1,8,1,2,1,8,4,6,1,1,4,0,1,2,4,2,0,0,0,3,7,4,0,5,14,12,13,9
"OTU_542",2,2,0,2,1,0,4,6,8,5,2,2,1,1,0,1,1,0,1,1,2,3,7,1,0,3,3,0,0,0,1,1,0,1,0,4,4,1,3,2,2,3,3,0,0,1,1,1,1,0,3,5,0,0,3,5,1,0,2,0,4,0,3,0,0,6,2,1,2,1,6,1,2,0,3,0,1,3,0,7,2,0,2,0,0,3,0,0
"OTU_377",4,4,1,0,2,3,4,6,2,1,2,2,0,0,1,2,0,6,3,0,6,1,5,1,0,1,0,2,1,3,0,7,9,14,1,3,4,3,4,2,0,5,1,3,0,0,1,0,0,2,5,3,1,5,3,6,8,1,17,0,0,10,0,6,5,1,3,6,6,2,2,2,5,7,8,0,8,8,9,3,2,0,3,0,0,2,0,1
"OTU_1846",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,3,1,3,3,4,1,1,2,1,0,1,4,2,0,1,1,1,1,3,1,0,1,4,1,0
"OTU_1857",0,0,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,1,1,0,5,4,3,0,1,1,2,1,0,0,0,0,1,1,0,0,2,1,2,0,4,0,1,1
"OTU_45",110,31,29,30,40,24,49,53,37,30,14,6,7,9,6,30,1,26,77,10,47,17,20,14,6,6,7,15,1,18,11,23,6,11,4,22,13,27,31,35,10,31,6,12,18,40,34,27,66,37,27,17,7,57,34,29,15,19,56,6,8,82,20,15,36,34,23,22,31,33,21,6,15,4,14,2,5,16,19,16,30,7,21,7,16,32,4,8
"OTU_769",3,1,1,1,1,0,4,1,8,1,1,2,2,0,2,2,0,1,0,1,3,0,2,0,1,1,0,0,1,2,2,0,0,0,0,0,0,4,5,3,6,4,2,0,2,14,11,3,2,5,4,2,1,5,3,1,6,0,0,0,0,5,0,0,0,0,0,0,1,8,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0
"OTU_396",0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0,0,3,2,2,2,1,0,1,0,3,5,1,0,2,4,3,0,4,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,2,6,6,9,7,3,0,0,1,3,2,0,0,0,3
"OTU_1185",2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,1,0,0,0,1,0,0,1,0,2,1,2,0,0,0,1,0,1,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,4,0,2,0,0,0,1,2,0,3,0,3,0,0,0,0,0
"OTU_740",1,2,3,0,0,0,1,0,5,1,0,3,1,2,0,0,12,5,3,27,25,17,2,0,6,18,1,3,0,0,0,0,1,2,0,0,0,0,1,3,1,1,10,0,0,0,0,0,1,9,3,17,5,0,1,1,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"OTU_473",0,2,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,6,4,5,8,4,2,7,0,7,13,1,7,8,6,4,5,2,3,0,6,0,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,1,0,0,0
"OTU_798",4,4,4,3,5,5,8,3,1,2,3,3,1,0,1,3,0,2,3,1,7,10,0,3,1,0,1,2,1,1,1,0,0,0,0,1,1,2,0,0,0,4,0,2,0,0,0,0,0,5,0,2,0,0,2,1,1,2,2,0,0,3,2,0,1,1,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_1317",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,3,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,7,3,1,1,1,0,2,0,0,0,0
"OTU_1866",0,0,0,0,0,0,0,0,1,0,0,1,1,3,8,3,2,1,0,0,1,0,1,0,2,3,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,1,2,0,0,4,2
"OTU_3018",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,5,1,1,2,0,5,1,1,1,2,0,0,0,1,2,0,2,1,9,2,1,3
"OTU_531",4,1,2,0,4,1,4,3,0,1,1,0,1,0,1,3,0,0,2,0,1,0,4,0,1,2,2,0,0,0,3,4,1,0,0,1,1,1,2,0,0,0,0,0,0,0,1,0,1,1,2,0,0,3,0,1,0,2,1,1,0,3,5,9,2,6,0,3,14,2,4,3,1,4,2,1,0,0,2,1,2,3,6,2,1,4,2,0
"OTU_575",0,6,0,1,3,0,3,4,8,1,3,1,1,5,3,1,0,0,1,0,2,4,1,0,0,4,6,3,1,4,1,0,6,3,1,0,5,11,0,5,2,0,1,3,1,2,0,0,0,1,1,5,3,1,2,3,5,3,2,1,2,7,8,4,12,3,7,3,0,3,7,7,0,10,4,6,1,2,2,3,5,2,2,2,1,0,8,4
"OTU_1011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,2,4,0,0,0,1,0,0,0,1,0,0,1,1,1,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,5,8,1,0,3,0,4,0,3,0,1,0
"OTU_816",0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,5,0,0,1,0,0,1,0,5,7,3,57,8
"OTU_248",1,3,3,1,1,3,1,0,0,2,0,0,0,1,2,0,0,0,2,0,0,0,3,3,0,0,1,1,1,2,4,3,0,0,0,0,3,2,10,5,6,10,7,1,0,3,1,0,2,3,17,2,12,13,12,13,6,5,3,1,1,1,2,4,3,21,2,17,29,10,11,6,7,2,2,0,0,0,1,6,23,8,14,3,4,12,3,0
"OTU_1497",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0,1,1,1,5,1,0,0,1,3,1,1,2,0,0,0,0,0,5,2,2,2,0,3,2,0,2,1,0
"OTU_300",27,12,7,19,32,19,6,11,20,5,13,8,24,8,5,6,10,12,4,41,16,5,10,7,4,7,38,16,14,2,8,2,1,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,5,1,0,3,0,4,0,1,0,4,4,0,0,0,0,3,0,2,6,2,4,0,3
"OTU_1075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,14,0,16,1,4,5,2,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_279",0,0,0,0,0,0,0,3,2,1,14,13,4,0,1,4,0,5,3,0,2,3,5,17,31,2,1,0,0,5,4,1,0,1,3,12,5,3,6,9,8,0,3,4,0,1,3,27,11,12,10,10,3,5,36,2,14,5,4,0,0,0,4,1,2,3,5,4,0,0,0,0,3,4,3,2,4,4,7,1,6,4,3,1,3,3,0,2
"OTU_509",1,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,1,3,1,0,4,3,3,2,2,11,0,7,7,8,10,11,8,6,6,15,3,2,4,0,0,0,0,3,6,1,1,3,4,2,0,0,0,1,1,0,0,1,2,2,4,2,1,2,2,1,4,2,1
"OTU_1190",0,0,0,0,0,1,4,5,3,5,1,3,1,1,0,0,0,0,0,0,0,5,5,3,1,1,1,0,0,0,1,1,3,2,0,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,0,0,0,1,0,1,2,1,0,2,1,0,1,0,2,0,0,0,0,0,2,1,0,0,1,0,1,0,0
"OTU_242",7,2,3,2,1,1,3,8,12,4,5,8,3,2,1,7,1,7,7,2,9,3,1,5,5,1,1,3,1,12,5,12,1,2,0,11,6,10,3,6,8,5,2,2,1,0,1,4,8,6,6,5,7,8,7,8,7,3,3,3,0,0,0,4,0,4,1,2,1,0,0,1,0,0,1,2,3,5,7,0,2,2,1,0,0,2,1,0
"OTU_327",0,0,3,2,1,0,0,0,4,1,4,1,0,3,2,2,0,0,1,28,2,1,0,1,1,0,2,1,16,0,2,10,33,31,29,4,4,0,0,3,6,0,2,4,0,0,0,0,0,0,2,2,2,1,1,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,1,3,3,5,0,1,0,2,0,1,2,2,0,0
"OTU_1231",3,4,4,1,1,2,1,1,4,2,1,0,0,0,0,0,0,0,1,1,0,0,2,2,2,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"OTU_77",48,20,19,25,21,32,17,26,22,9,12,6,2,5,3,8,1,14,33,6,14,14,6,5,0,2,9,7,6,8,9,7,7,13,0,42,10,32,34,17,7,25,2,13,11,22,14,15,23,22,14,12,6,16,18,6,15,20,25,8,6,37,36,28,27,28,21,25,28,15,30,10,6,5,9,1,3,3,9,13,15,10,13,6,11,7,3,5
"OTU_984",0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,5,0,2,2,2,0,2,2,0,1,0,3,14,1,2,0,0,4,2,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"OTU_156",44,19,33,48,33,53,28,38,10,22,15,12,3,2,15,16,2,12,30,6,14,10,16,8,4,8,1,10,3,0,1,2,4,1,0,1,3,3,4,4,1,1,2,4,3,1,3,4,5,6,4,2,4,10,4,5,6,10,12,3,1,17,4,5,10,7,4,10,8,4,4,1,2,0,2,0,0,0,2,2,2,1,6,1,1,5,3,2
"OTU_281",0,8,2,5,3,9,1,10,6,6,15,8,4,0,3,8,0,2,2,0,1,2,1,1,0,1,0,1,0,0,0,0,0,0,2,3,1,0,4,3,2,7,6,14,29,12,61,54,15,16,15,23,2,3,2,0,2,1,10,2,0,8,3,5,48,47,27,25,2,1,0,0,1,2,0,4,2,1,2,5,7,0,1,8,23,2,0,1
"OTU_659",7,3,0,5,2,1,2,2,0,0,1,0,4,1,0,1,0,0,4,0,1,2,1,2,0,4,3,0,1,2,2,0,4,0,0,2,0,5,2,2,1,1,0,1,2,2,1,4,3,1,0,2,4,2,3,1,1,0,1,0,0,1,1,1,7,0,2,4,6,1,6,1,2,0,1,1,0,0,1,4,5,0,2,0,1,1,0,2
"OTU_845",1,1,0,0,2,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,4,2,0,0,0,2,0,0,2,4,1,0,1,0,0,1,0,6,1,0,2,0,0,0,0,0,0,2,0,2,0,1,2,2,1,0,0,0,0,0,3,1,0,3,0,2,4,3,2,2,3,1,0,1,0,1,0,1,1,5,3,3,0,5,1,0,0
"OTU_785",5,1,8,2,3,0,1,2,3,1,1,1,4,3,1,0,3,0,0,1,2,0,0,0,1,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9,0,4,1,3,1,8,9,3,2,1,1,2,2,3,1,1,2,2,8
