"SampleID","Week","SoilTemperature","SoilMoisture","SoilMoisturePercentage","pH","TC","TN","NO3","NH4","AvailableP","CNR"
"NWSwk16S137",18,8.825,25.30416667,18.91891892,7.33,0.83018,0.10376,2.632,3.23,20.702,8.000963763
"NWSwk16S145",19,11.43333333,25.1125,21.60493827,7.07,0.97592,0.11135,3.1465,3.6105,19.526,8.764436462
"NWSwk16S153",20,12.89583333,20.025,19.88304094,7.14,0.76476,0.09888,1.388,2.9205,15.096,7.734223301
"NWSwk16S161",21,16.50555556,17.53125,14.79289941,7.04,0.84359,0.10511,1.732,3.2155,16.859,8.025782514
"NWSwk16S169",22,19.4,14.01304348,12.04819277,7.2,0.77062,0.09257,1.2205,3.992,22.919,8.324727233
"NWSwk16S177",23,19.16666667,16.42916667,9.090909091,7.26,0.77275,0.09507,1.2635,4.6955,23.671,8.128221311
"NWSwk16S185",24,17.23333333,34.275,24.07407407,7.45,1.1074,0.11259,1.8995,5.33,24.987,9.835687006
"NWSwk16S193",25,19.8625,21.225,12.97297297,7.21,1.3426,0.14844,2.086,5.77,27.981,9.044731878
"NWSwk16S201",26,21.75416667,15.57916667,10.75268817,7.52,0.89706,0.10328,1.7,4.262,25.202,8.685708753
"NWSwk16S209",27,20.60833333,11.26666667,6.770833333,7.5,0.563,0.112,1.434,2.841,19.235,5.026785714
"NWSwk16S217",28,16.2125,20.24166667,11.24260355,7.28,0.66,0.112,2.8855,3.344,23.175,5.892857143
"NWSwk16S225",29,22.14166667,28.475,14.28571429,7.37,0.652,0.0871,1.5245,3.3205,23.838,7.48564868
"NWSwk16S233",30,24.06666667,30.05,15.15151515,7.35,0.758,0.1,2.4925,4.849,27.088,7.58
"NWSwk16S241",31,21.85,17.82916667,4.90797546,7.17,0.59,0.0725,1.7075,5.275,30.758,8.137931034
"NWSwk16S249",32,21.8875,40.87916667,20.68965517,7.32,0.834,0.0824,1.937,4.518,18.5,10.12135922
"NWSwk16S257",33,22.6625,37.55,16.03053435,6.79,1.0843,0.11037,2.3505,6.18,18.814,9.824227598
"NWSwk16S265",34,20.525,42.32916667,24.84848485,7.08,0.82521,0.0798,2.318,9.34,20.85,10.34097744
"NWSwk16S273",35,23.70869565,33.66521739,14.66666667,7.13,1.1985,0.11149,2.559,6.06,16.379,10.74984304
"NWSwk16S281",36,26.2,34.7,8.333333333,7.26,0.62263,0.07094,1.364,2.546,15.293,8.776853679
"NWSwk16S289",37,23.22083333,34.24583333,10.65088757,6.88,0.77345,0.08696,2.0465,2.5105,16.011,8.894319227
"NWSwk16S297",38,25.26666667,43.16666667,21.73913043,7.07,0.71048,0.07474,0.9205,4.8535,18.41,9.506020872
"NWSwk16S305",39,23.22083333,34.24583333,15.6462585,7.1,0.7555,0.07465,1.3085,5.105,17.924,10.12056263
"NWSwk16S313",40,23.22083333,34.24583333,5.813953488,7.06,0.99713,0.10444,0.812,3.088,19.269,9.547395634
"NWSwk16S321",41,23.22083333,34.24583333,5.263157895,6.71,0.88319,0.09557,1.46,2.6855,16.91,9.241289107
"NWSwk16S329",42,23.22083333,34.24583333,4.069767442,7.42,0.82783,0.09344,0.6705,2.1165,15.529,8.859482021
"NWSwk16S337",43,23.22083333,34.24583333,3.370786517,7.12,1.0773,0.12153,1.834,2.3775,23.646,8.864477907
"NWSwk16S345",44,23.22083333,34.24583333,6.842105263,6.88,1.0068,0.10397,1.293,3.092,18.352,9.683562566
"NWSwk16S353",45,23.22083333,34.24583333,12.42937853,7.09,0.81288,0.08002,1.8525,3.4905,15.017,10.15846038
"NWSwk16S361",46,23.22083333,34.24583333,4.324324324,6.85,0.74521,0.0786,1.3535,3.8775,21.521,9.481043257
"NWSwk16S369",47,23.22083333,34.24583333,3.278688525,7.04,0.82779,0.08557,2.157,3.621,24.625,9.673834288
"NWSwk16S377",48,23.22083333,34.24583333,6.586826347,7.16,1.0425,0.10619,1.9365,3.6925,18.472,9.817308598
"NWSwk16S385",49,23.22083333,34.24583333,5.696202532,7.22,0.7052,0.07012,1.75,3.925,14.118,10.05704507
"NWSwk16S393",50,23.22083333,34.24583333,1.764705882,6.94,1.0608,0.11207,4.195,3.02,19.655,9.465512626
"NWSwk16S401",51,23.22083333,34.24583333,2.339181287,7.01,1.117,0.1186,4.015,4.445,24.668,9.418212479
"NWSwk16S409",52,23.22083333,34.24583333,4.848484848,7.04,0.84196,0.10002,3.405,3.165,21.898,8.417916417
"NWSwk16S417",53,23.22083333,34.24583333,13.52941176,7.09,0.96106,0.10538,5.25,3.88,19.185,9.119946859
"NWSwk16S425",54,23.22083333,34.24583333,14.52513966,7.01,0.90621,0.10612,4.615,2.715,18.756,8.539483603
"NWSwk16S433",55,23.22083333,34.24583333,9.142857143,7.17,0.815,0.0749,3.085,3.96,18.117,10.8811749
"NWSwk16S441",56,23.22083333,34.24583333,10.52631579,7.01,1.28,0.0841,2.62,4.1,19.884,15.21997622
"NWSwk16S449",57,23.22083333,34.24583333,10.28571429,7.06,0.819,0.0638,3.85,4.61,22.827,12.8369906
"NWSwk16S457",58,23.22083333,34.24583333,8.287292818,6.95,1.06,0.115,3.15,3.25,15.825,9.217391304
"NWSwk16S465",59,17.42916667,12.85,7.185628743,7,1.64,0.134,2.445,4.945,26.247,12.23880597
"NWSwk16S473",60,17.78333333,12.32083333,4.469273743,7.51,0.95002,0.09007,2.07,2.765,18.092,10.54757411
